id,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred,iine
37,ダンスホール,Mrs. GREEN APPLE,2022/5/23,0.24687242,0.927710843,0.705570292,0.023236272,0.660160735,0.785210061,0.294450162,0.800215983,https://open.spotify.com/track/4NaaF28BeO9WzjDrSS71Nz,https://i.scdn.co/image/ab67616d00004851e552c9dbdf76676de1032ae0,なし,6,0
38,Perfect Circle,円神,2022/8/12,0.354164777,0.277108434,0.49734748,0.014520155,0.902411022,0.859022685,0.500727727,0.787257019,https://open.spotify.com/track/4acoHLCUfxdV7ZnyeQjkdm,https://i.scdn.co/image/ab67616d000048516b77f531e2d992e17fd8c75e,なし,17,0
39,青空の下、キミのとなり,嵐,2015/5/13,0.340876438,0.493975904,0.604774536,0.509439107,0.996555683,0.835652114,0.427080271,0.578833693,https://open.spotify.com/track/7keyH84kNCdYq6LVRMni3Z,https://i.scdn.co/image/ab67616d000048511c4dcca755821ec227e907d8,https://p.scdn.co/mp3-preview/8fb13686d7c5c08acc0911b8bf2c2df2fd4b0042?cid=18308f0d5b8049c89ee330d9cfa4bc58,10,0
40,NIGHT DANCER,imase,2022/8/19,0.265485163,0.855421687,0.937665782,0.105480649,0.533869116,0.496813104,0.346523081,0.872570194,https://open.spotify.com/track/348NF6vX0Yh22xvH0EZEro,https://i.scdn.co/image/ab67616d00004851e2a3788f1a9dea9028099d4e,なし,6,0
41,空も飛べるはず,スピッツ,2006/3/25,0.409757192,0.746987952,0.515915119,0.047261463,0.792192882,0.749640189,0.330910026,0.677105832,https://open.spotify.com/track/3P2aSkjcbUYbcYr13EFE8n,https://i.scdn.co/image/ab67616d0000485143a4feca9399f68cc2ba1200,なし,2,0
42,スパークル,幾田りら,2022/1/17,0.271814307,0.831325301,0.543766578,0.465858526,0.526980482,0.712082791,0.587415466,0.700863931,https://open.spotify.com/track/6EuubEs5qOmJdpNhkU47OZ,https://i.scdn.co/image/ab67616d00004851bad1903025f118cb2d6b6335,https://p.scdn.co/mp3-preview/3651c50ddee943bd984f60c312b6353bd21070f8?cid=18308f0d5b8049c89ee330d9cfa4bc58,7,0
43,君と羊と青,RADWIMPS,2011/3/9,0.139565742,0.698795181,0.275862069,4.47E-06,0.969001148,0.894592557,0.691877389,0.793736501,https://open.spotify.com/track/17A3UTMUWzCRn7I42exBhF,https://i.scdn.co/image/ab67616d000048514bd5e7524ad2a46ac942ce73,なし,0,0
44,レオ,優里,2022/1/12,0.33236837,0.819277108,0.563660477,0.4278652,0.48564868,0.619971215,0.169979418,0.388768898,https://open.spotify.com/track/3eg3igrhEhzk8bqqRz6XCt,https://i.scdn.co/image/ab67616d00004851d0bd51668da5629aa0cc77d8,https://p.scdn.co/mp3-preview/f9c16ed376d22a46387952a167aaa78d5f7d1db0?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
45,愛とか恋とか,Novelbright,2022/5/16,0.31680803,0.86746988,0.653846154,0.779862196,0.500574053,0.70166541,0.147515437,0.389848812,https://open.spotify.com/track/1VHL1PIkhDwWbFc65xHwOr,https://i.scdn.co/image/ab67616d000048517b5dacdec4e8cc4ce9b93665,なし,5,0
46,僕らまた,SG,2021/4/4,0.232930165,0.78313253,0.629973475,0.796623958,0.204362801,0.133849633,0.058740076,0.707343413,https://open.spotify.com/track/5hzOyvCqy8sb39xGXUEdpb,https://i.scdn.co/image/ab67616d0000485196bcdb37d3e3b406336621a5,https://p.scdn.co/mp3-preview/c32556a24c163024e3d85e46ad585e94475ed6c2?cid=18308f0d5b8049c89ee330d9cfa4bc58,14,0
47,Just You and I,安室奈美恵,2017/5/31,0.282059788,0.662650602,0.517241379,0.341821489,0.611940299,0.719004866,0.133093208,0.51187905,https://open.spotify.com/track/6t8YA4Bm6DB9aDfKUk9b4I,https://i.scdn.co/image/ab67616d00004851582b197c9ef8f65dc62c5c58,https://p.scdn.co/mp3-preview/bcd2d831f0470d6e2efe1534f9ab2c9548e48237?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
48,カラノココロ,Anly,2017/4/26,0.392636046,0.710843373,0.554376658,0.164146815,0.856486797,0.617778082,0.294141429,0.637149028,https://open.spotify.com/track/3uXKEQTzOngrZ1WWyMzuqO,https://i.scdn.co/image/ab67616d000048515de35dd240100fbb7a9728e7,https://p.scdn.co/mp3-preview/8c4626da79b26432cc14efc624aad107ba01069f?cid=18308f0d5b8049c89ee330d9cfa4bc58,18,0
49,今夜このまま,あいみょん,2018/10/24,0.330268201,0.590361446,0.314323607,0.0282648,0.840413318,0.804057296,0.256806822,0.644708423,https://open.spotify.com/track/0sSG83UxY15ft1E2N9THYF,https://i.scdn.co/image/ab67616d00004851a239a5431ce3640e94a70735,https://p.scdn.co/mp3-preview/74508a5e6442f208b7f59c14b470f97e3ae4395d?cid=18308f0d5b8049c89ee330d9cfa4bc58,2,0
50,My Special Day,Dew,2009/8/19,0.601812827,0.469879518,0.423076923,0.235663665,0.615384615,0.630594202,0.575249926,0.568034557,https://open.spotify.com/track/0C3RsUjuta13xkc2bvLTGg,https://i.scdn.co/image/ab67616d00004851ae0467245b87495b1c81a9f5,https://p.scdn.co/mp3-preview/dc0de33c0105d0f1c73b2380456979a8f4a64fe0?cid=18308f0d5b8049c89ee330d9cfa4bc58,3,0
51,スーパーガール,あいみょん,2022/8/17,0.35232713,0.626506024,0.698938992,0.737399066,0.740528129,0.705571928,0.26499559,0.696544276,https://open.spotify.com/track/3LMLiuJLD65xB5OddTKEEd,https://i.scdn.co/image/ab67616d00004851f1150110f2382c91280611c1,https://p.scdn.co/mp3-preview/3e7aa2344300b2a35ef35318eda448491e0ca543?cid=18308f0d5b8049c89ee330d9cfa4bc58,10,0
52,君に届け,flumpool,2011/1/26,0.531915401,0.662650602,0.324933687,0.017984253,0.863375431,0.725310123,0.545493972,0.518358531,https://open.spotify.com/track/0kA7SWxWPYqSyIbMl51X5b,https://i.scdn.co/image/ab67616d0000485100aa230aaf32f986fe13f390,https://p.scdn.co/mp3-preview/d795631e60f481ec96ec6aab7359bd7457ee7793?cid=18308f0d5b8049c89ee330d9cfa4bc58,9,0
53,君がいない世界,(sic)boy,2022/8/17,0.129838144,0.771084337,0.578249337,0.025694663,0.843857635,0.691522171,0.602712438,0.803455724,https://open.spotify.com/track/1BduWmGXpjUAbunc1hrOr0,https://i.scdn.co/image/ab67616d0000485186f21fe73363c9547099bb60,なし,17,0
54,涙そうそう,夏川りみ,2002/3/21,0.378667539,0.614457831,0.526525199,0.59995262,0.321469575,0.565142896,0.044508968,0.349892009,https://open.spotify.com/track/6CVPtGUN0KJd2VYTKxIXR6,https://i.scdn.co/image/ab67616d000048518892d2bd0957aec002c46a5f,https://p.scdn.co/mp3-preview/0e33e6935fbb7953547f3d284852d0f3785040e8?cid=18308f0d5b8049c89ee330d9cfa4bc58,12,0
55,記憶の海を泳ぐ貴方は,Absolute area,2021/6/9,0.424627817,0.289156627,0.462864721,0.478150485,0.502870264,0.417517648,0.10981329,0.289416847,https://open.spotify.com/track/0XH0fSXP8TIfqKoLnQ892q,https://i.scdn.co/image/ab67616d00004851ec57f9c20161d161a517a00d,https://p.scdn.co/mp3-preview/9ca4bf1c21afd5b3df32c52e518f398aa29d5be3?cid=18308f0d5b8049c89ee330d9cfa4bc58,12,0
56,Best Friend,Kiroro,2002/2/21,0.430806608,0.602409639,0.572944297,0.949714715,0.420206659,0.546432733,0.06830344,0.252699784,https://open.spotify.com/track/3zYklKjGLqqliuuY7iBprG,https://i.scdn.co/image/ab67616d00004851e2a9179a5b1029af05c7f161,https://p.scdn.co/mp3-preview/333d4cc036e010324058ef98de2393d5fbc5f80e?cid=18308f0d5b8049c89ee330d9cfa4bc58,12,0
57,Sunshine & Happiness,Leola,2018/8/1,0.486761779,0.313253012,0.75331565,0.363053054,0.61423651,0.745048317,0.390524846,0.640388769,https://open.spotify.com/track/3DGJNeNXAzIEscpb1YL9rf,https://i.scdn.co/image/ab67616d0000485105d6db01d15aa9e1243f9c50,https://p.scdn.co/mp3-preview/29b8c74ac8822acc26d39b8f26d0d112573767b6?cid=18308f0d5b8049c89ee330d9cfa4bc58,10,0
58,ひと夏の君へ,Absolute area,2018/8/8,0.396218265,0.313253012,0.179045093,0,0.921928817,0.723665273,0.846743605,0.519438445,https://open.spotify.com/track/302vHLCEpAVdBixPWXWYzW,https://i.scdn.co/image/ab67616d00004851884c8ae22728db49da4419dc,https://p.scdn.co/mp3-preview/4c8b1a2f98d0b9450c8524a4a08a177003f874fc?cid=18308f0d5b8049c89ee330d9cfa4bc58,0,0
59,Prince,さなり,2019/6/5,0.357871097,0.590361446,0.793103448,0.250190525,0.824339839,0.695976972,0.22103793,0.6825054,https://open.spotify.com/track/1lZgpaHTGgMh6Nr0ABNyh0,https://i.scdn.co/image/ab67616d00004851bb53659abba800e111060c0b,https://p.scdn.co/mp3-preview/d475bbee2ada8c6a168fbb34766caef8fabee63f?cid=18308f0d5b8049c89ee330d9cfa4bc58,6,0
60,地球儀,Aimer,2021/3/16,0.317602753,0.686746988,0.628647215,0.014296665,0.823191734,0.682612569,0.221545134,0.942764579,https://open.spotify.com/track/6NffEVuGbmTvIpfSS93aMU,https://i.scdn.co/image/ab67616d0000485165cbc3f04a15e7146dbdae1c,https://p.scdn.co/mp3-preview/3064a1c75550c3159dc0e2fd8080e203e863b73f?cid=18308f0d5b8049c89ee330d9cfa4bc58,6,0
61,You,多部大,2022/6/9,0.214885421,0.674698795,0.371352785,0.180908577,0.510907003,0.525118224,0.21405469,0.8412527,https://open.spotify.com/track/575mvUgjzuHwGUgW0gIoec,https://i.scdn.co/image/ab67616d0000485109b7abe5b4428a8447f7983a,https://p.scdn.co/mp3-preview/8bd8d115648a067d5ddd0b9739574fe1561ff882?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
62,プロローグ,Uru,2018/12/5,0.483611526,0.746987952,0.307692308,0.539610278,0.654420207,0.698444246,0.736650985,0.301295896,https://open.spotify.com/track/4YMukCV1BsdK8V9kZoQpT6,https://i.scdn.co/image/ab67616d000048516a81da932758060c47773764,https://p.scdn.co/mp3-preview/a8ea273e967a443dd7032f33e9777fdb25b2a377?cid=18308f0d5b8049c89ee330d9cfa4bc58,7,0
63,チェリー,スピッツ,1996,0.382390565,0.795180723,0.586206897,0.253542878,0.786452354,0.81591392,0.200543958,0.761339093,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z,https://i.scdn.co/image/ab67616d00004851ca6cb1176913264c1f402f68,なし,6,0
64,Let it fly,Leola,2017/7/12,0.548143976,0.530120482,0.649867374,0.221136805,0.793340987,0.804399973,0.426771538,0.53887689,https://open.spotify.com/track/2rtNLROI612bwP0D2bMXsh,https://i.scdn.co/image/ab67616d00004851bf046c83dd043da594ecfd6a,https://p.scdn.co/mp3-preview/dc6c85d71fd89bacda0b796790063344406e9440?cid=18308f0d5b8049c89ee330d9cfa4bc58,18,0
65,You're the Reason,INTERSECTION,2019/8/21,0.235459913,0.481927711,0.543766578,0.022565801,0.676234214,0.679597012,0.191656866,0.086393089,https://open.spotify.com/track/0SbRO0N2z4Wsvl4xgSHfdh,https://i.scdn.co/image/ab67616d0000485169fc3988c9626f8b0004e5ab,https://p.scdn.co/mp3-preview/68916d94733fa3434c4f5cfe35dc8a7d7f9fe81d?cid=18308f0d5b8049c89ee330d9cfa4bc58,19,0
66,Paper Cuts,EXO-CBX,2019/4/10,0.284675452,0.734939759,0.48938992,0.3574658,0.450057405,0.726749366,0.448235813,0.177105832,https://open.spotify.com/track/4WEDwbFzxYsd28HZtuG7Yd,https://i.scdn.co/image/ab67616d000048510dfdbae46bfeb56697ca35ac,https://p.scdn.co/mp3-preview/2f9aa395fd4243b9867b11776914252eec1880e5?cid=18308f0d5b8049c89ee330d9cfa4bc58,7,0
67,水平線,back number,2021/8/13,0.443159417,0.891566265,0.285145889,0.012173509,0.723306544,0.80741553,0.558276977,0.424406048,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L,https://i.scdn.co/image/ab67616d000048512c34b754c9f4fb50c37e6982,なし,9,0
68,消えてしまいそうです,ずっと真夜中でいいのに。,2022/9/8,0.377297656,0.807228916,0.631299735,0.403281282,0.921928817,0.856281269,0.264966186,0.885529158,https://open.spotify.com/track/4wYCZ6QS5EClBXqjakTieR,https://i.scdn.co/image/ab67616d0000485188ae48200161d233526a26d1,なし,10,0
